2023-06-17T23:37:47.088+09:00  INFO 2393 --- [Test worker] c.e.m.w.t.c.TeamRestApiControllerTest    : Starting TeamRestApiControllerTest using Java 17.0.7 with PID 2393 (started by mj in /Users/mj/IdeaProjects/multimodule-basic/multimodule-api)
2023-06-17T23:37:47.089+09:00  INFO 2393 --- [Test worker] c.e.m.w.t.c.TeamRestApiControllerTest    : No active profile set, falling back to 1 default profile: "default"
2023-06-17T23:37:47.387+09:00  INFO 2393 --- [Test worker] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-06-17T23:37:47.397+09:00  INFO 2393 --- [Test worker] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2023-06-17T23:37:47.667+09:00  INFO 2393 --- [Test worker] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-06-17T23:37:47.697+09:00  INFO 2393 --- [Test worker] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.2.2.Final
2023-06-17T23:37:47.698+09:00  INFO 2393 --- [Test worker] org.hibernate.cfg.Environment            : HHH000406: Using bytecode reflection optimizer
2023-06-17T23:37:47.759+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@7d37ee0c
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@7d37ee0c
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@7d37ee0c
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@5a7b309b
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@5a7b309b
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration true_false -> org.hibernate.type.BasicTypeReference@4602f874
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@4602f874
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@7739aac4
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@7739aac4
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@353c6da1
2023-06-17T23:37:47.760+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@353c6da1
2023-06-17T23:37:47.761+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@353c6da1
2023-06-17T23:37:47.761+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration binary -> org.hibernate.type.BasicTypeReference@36c07c75
2023-06-17T23:37:47.761+09:00 DEBUG 2393 --- [Test worker] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@36c07c75
